Male Age Group,March,April,May,June,July,August,September,October,November,December,Grand Total
0-10,NA,69,187,461,1334,1261,1367,384,187,131,5381
11-20,3,107,310,850,2108,1959,2159,632,297,243,8668
21-30,3,185,676,1552,4620,4451,5593,1698,790,623,20191
31-40,3,169,653,1645,5139,5805,7381,2109,1118,847,24869
41-50,5,142,489,1235,3751,4345,5445,1606,912,594,18524
51-60,4,94,373,960,2900,3372,4392,1310,729,559,14693
61-70,6,73,205,601,1862,2170,2780,873,438,410,9418
71-80,1,36,112,272,774,1032,1341,477,252,204,4501
81-90,NA,9,26,63,219,286,393,106,72,47,1221
91-100,NA,NA,3,5,23,32,36,10,3,2,114
111-120,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2
Grand Total,25,884,3034,7644,22730,24714,30887,9206,4798,3660,107582
